Sample_id	Sample	extraction_ID	Coral	Treatment	Tank	Settlement	Percent_settled	input	filtered	percentage.of.input.passed.filter	denoised	merged	percentage.of.input.merged	non.chimeric	percentage.of.input.non.chimeric
SE3469_S1	SE3469	1477	Plob	Light_2M	MIS5C	None	0	8636	8078	93.54	7655	7258	84.04	7258	84.04
SE3470_S13	SE3470	1487	Plob	Light_2M	MIS5C	None	0	32615	30626	93.9	29865	29066	89.12	28948	88.76
SE3471_S25	SE3471	1479	Plob	Light_2M	MIS5C	None	0	9316	8669	93.05	8360	7920	85.02	7886	84.65
SE3472_S37	SE3472	1498	Plob	Light_2M	MIS5C	None	0	21294	19846	93.2	19402	18645	87.56	18558	87.15
SE3473_S49	SE3473	1493	Plob	Light_2M	MIS5C	None	0	9331	8711	93.36	8399	7904	84.71	7851	84.14
SE3474_S61	SE3474	1499	Plob	Light_2M	MIS5C	None	0	77805	72396	93.05	71218	69333	89.11	68826	88.46
SE3475_S73	SE3475	1501	Plob	Light_2M	MIS5C	None	0	25903	24340	93.97	23664	22602	87.26	22449	86.67
SE3476_S271	SE3476	1502	Plob	Light_2M	MIS5C	None	0	97388	90202	92.62	89117	87178	89.52	86403	88.72
SE3476_S85	SE3476	1502	Plob	Light_2M	MIS5C	None	0	4493	4102	91.3	3705	3389	75.43	3389	75.43
SE3477_S2	SE3477	1507	Plob	Light_2M	MIS5C	None	0	17896	16773	93.72	16221	15469	86.44	15378	85.93
SE3478_S14	SE3478	1480	Plob	Light_2M	MIS5C	Low	16.66666667	59373	55981	94.29	55141	53653	90.37	53477	90.07
SE3479_S26	SE3479	1481	Plob	Light_2M	MIS5C	Low	16.66666667	22025	20529	93.21	20081	19340	87.81	19178	87.07
SE3480_S38	SE3480	1483	Plob	Light_2M	MIS5C	Low	16.66666667	7051	6533	92.65	6225	5884	83.45	5884	83.45
SE3481_S50	SE3481	1484	Plob	Light_2M	MIS5C	Low	20	48892	45733	93.54	44910	43477	88.92	43284	88.53
SE3482_S62	SE3482	1491	Plob	Light_2M	MIS5C	Low	16.66666667	28307	26543	93.77	25941	25030	88.42	24864	87.84
SE3483_S74	SE3483	1492	Plob	Light_2M	MIS5C	Low	20	20023	18767	93.73	18177	17438	87.09	17366	86.73
